Taxon name,Date observed,Description,Place name,Latitude / y coord / northing,Longitude / x coord / easting,Tags,Geoprivacy
Feral Pigeon,2024-04-26 6:45am,कबूतर (Columba livia (Feral Pigeon)),,17.455667,78.441746,,
Eudynamys scolopaceus,2024-04-26 6:45am,कोयल (Eudynamys scolopaceus),,17.455667,78.441746,,
Accipiter badius,2024-04-26 6:45am,शिकरा (Accipiter badius),,17.455667,78.441746,,
Milvus migrans,2024-04-26 6:45am,चील (Milvus migrans),,17.455667,78.441746,,
Psilopogon haemacephalus,2024-04-26 6:45am,ठठेरा बसंता (Psilopogon haemacephalus),,17.455667,78.441746,,
Psittacula krameri,2024-04-26 6:45am,तोता (Psittacula krameri),,17.455667,78.441746,,
Oriolus kundoo,2024-04-26 6:45am,Indian Golden Oriole (Oriolus kundoo),,17.455667,78.441746,,
Dicrurus macrocercus,2024-04-26 6:45am,भुजंगा (Dicrurus macrocercus),,17.455667,78.441746,,
Corvus splendens,2024-04-26 6:45am,कौआ (Corvus splendens),,17.455667,78.441746,,
Orthotomus sutorius,2024-04-26 6:45am,दर्जिन (Orthotomus sutorius),,17.455667,78.441746,,
Pycnonotus cafer,2024-04-26 6:45am,गुलदुम बुलबुल (Pycnonotus cafer),,17.455667,78.441746,,
Zosterops palpebrosus,2024-04-26 6:45am,बबूना (Zosterops palpebrosus),,17.455667,78.441746,,
Copsychus fulicatus,2024-04-26 6:45am,कलचुरी (Copsychus fulicatus),,17.455667,78.441746,,
Copsychus saularis,2024-04-26 6:45am,दयाल (Copsychus saularis),,17.455667,78.441746,,
Cyornis tickelliae,2024-04-26 6:45am,Tickell's Blue Flycatcher (Cyornis tickelliae),,17.455667,78.441746,,
Dicaeum erythrorhynchos,2024-04-26 6:45am,Pale-billed Flowerpecker (Dicaeum erythrorhynchos),,17.455667,78.441746,,
Leptocoma zeylonica,2024-04-26 6:45am,Purple-rumped Sunbird (Leptocoma zeylonica),,17.455667,78.441746,,
Cinnyris asiaticus,2024-04-26 6:45am,बैंगनी शक्करखोरा (Cinnyris asiaticus),,17.455667,78.441746,,
Passer domesticus,2024-04-26 6:45am,घरेलू गौरैया (Passer domesticus),,17.455667,78.441746,,
Motacilla maderaspatensis,2024-04-26 6:45am,सफ़ेद भौंह खंजन (Motacilla maderaspatensis),,17.455667,78.441746,,
